invoice_no,sale_date,sale_time,customer_id,drug_code,product_name,batch_no,storage_location,quantity,unit,unit_price,total_amount,gross_profit,วันสำคัญ,holiday,อุณหภูมิ,ปริมาณน้ำฝน
BL200917-055,2020-09-17,20:56,C01-0000,D0177,DIMENHYDRINATE N/L 100X10'S,P200114-0007,F5,2.0,แผง,10.0,20,16.1,,False,28.5,265.9
BL200916-003,2020-09-16,9:05,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,2.0,แผง,10.0,20,6.48,วันโอโซนโลก,True,28.5,265.9
BL200916-007,2020-09-16,9:59,C01-0000,G0090,Gofen 400,P200908-0055,B1,1.0,แผง,100.0,100,20.83,วันโอโซนโลก,True,28.5,265.9
BL200916-013,2020-09-16,11:01,C01-0000,D0188,dologen,P191108-0001,B1,1.0,แผง,40.0,40,22.0,วันโอโซนโลก,True,28.5,265.9
BL200916-014,2020-09-16,11:31,C01-0000,D0188,dologen,P191108-0001,B1,1.0,แผง,40.0,40,22.0,วันโอโซนโลก,True,28.5,265.9
BL200916-016,2020-09-16,12:24,C01-0000,I0108,Ibrofen 600 TO แผง,P200825-0002,F2,2.0,แผง,40.0,80,52.0,วันโอโซนโลก,True,28.5,265.9
BL200916-026,2020-09-16,16:49,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันโอโซนโลก,True,28.5,265.9
BL200916-028,2020-09-16,17:16,C01-0000,F0082,FLEMEX SYRUP 60 CC ผู้ใหญ่,P200325-0068,B1,1.0,ขวด,65.0,65,21.0,วันโอโซนโลก,True,28.5,265.9
BL200916-034,2020-09-16,18:33,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,วันโอโซนโลก,True,28.5,265.9
BL200916-039,2020-09-16,19:26,C01-0000,G0090,Gofen 400,P200908-0055,B1,1.0,แผง,100.0,100,20.83,วันโอโซนโลก,True,28.5,265.9
BL200916-043,2020-09-16,20:18,C01-0000,C0185,CPM ขวด 100 เม็ด,P200804-0008,F2,1.0,กระปุก,20.0,20,14.0,วันโอโซนโลก,True,28.5,265.9
BL200915-001,2020-09-15,8:28,C01-0000,D0174,DIFELENE  50 MG 10'S,P200908-0043,B1,1.0,แผง,35.0,35,19.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-007,2020-09-15,9:14,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,2.0,แผง,20.0,40,32.67,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-010,2020-09-15,10:33,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-011,2020-09-15,10:39,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-013,2020-09-15,10:44,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,3.0,แผง,20.0,60,40.8,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-019,2020-09-15,12:40,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-021,2020-09-15,13:28,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-021,2020-09-15,13:28,C01-0000,I0108,Ibrofen 600 TO แผง,P200825-0002,F2,1.0,แผง,40.0,40,26.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-025,2020-09-15,14:58,C01-0000,D0167,DexOph 4 ml.,P200811-0058,B1,1.0,ขวด,40.0,40,20.42,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-027,2020-09-15,15:05,C01-0000,C0185,CPM ขวด 100 เม็ด,P200804-0008,F2,1.0,กระปุก,20.0,20,14.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-028,2020-09-15,15:16,C01-0000,G0095,Gaviscon Dual Action ขวด150ml,P200818-0057,B1,1.0,ขวด,350.0,350,56.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-029,2020-09-15,15:24,C01-0000,D0167,DexOph 4 ml.,P200811-0058,B1,1.0,ขวด,40.0,40,20.42,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-032,2020-09-15,15:33,C01-0000,C0130,CANASONE C.B. CREAM  5G,P200825-0074,C3,1.0,หลอด,40.0,40,18.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-034,2020-09-15,15:57,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200908-0004,C3,3.0,แผง,10.0,30,9.72,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-036,2020-09-15,16:21,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-041,2020-09-15,17:25,C01-0000,I0108,Ibrofen 600 TO แผง,P200825-0002,F2,1.0,แผง,40.0,40,26.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-045,2020-09-15,18:14,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-048,2020-09-15,20:02,C01-0000,I0108,Ibrofen 600 TO แผง,P200825-0002,F2,1.0,แผง,40.0,40,26.0,วันศิลป์ พีระศรี,True,28.5,265.9
BL200915-050,2020-09-15,20:18,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันศิลป์ พีระศรี,True,28.5,265.9
BL200914-006,2020-09-14,10:29,C01-0000,B0091,BISOLVON FOIL 500  แผง,P200325-0025,B3,1.0,แผง,55.0,55,12.5,,False,28.5,265.9
BL200914-007,2020-09-14,10:37,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,,False,28.5,265.9
BL200914-007,2020-09-14,10:37,C01-0000,G0067,GARAMYCIN  5 GM เล็ก,P200825-0057,C3,1.0,หลอด,60.0,60,22.0,,False,28.5,265.9
BL200914-013,2020-09-14,12:35,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200914-016,2020-09-14,13:43,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,2.0,แผง,10.0,20,6.48,,False,28.5,265.9
BL200914-017,2020-09-14,14:02,C01-0000,B0111,BETHASONE - N 15 gm ส้ม,P200519-0036,C3,1.0,หลอด,65.0,65,31.0,,False,28.5,265.9
BL200914-021,2020-09-14,14:36,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,3.0,แผง,20.0,60,49.0,,False,28.5,265.9
BL200914-028,2020-09-14,18:27,C01-0000,C0138,CELEBREX 400 mg เป็นแผง,P200901-0032,B1,1.0,แผง,580.0,580,120.0,,False,28.5,265.9
BL200914-032,2020-09-14,18:49,C01-0000,G0091,gaviscon  ชมพู ซอง,P200825-0048,C3,2.0,ซอง,25.0,50,6.0,,False,28.5,265.9
BL200914-033,2020-09-14,18:50,C01-0000,D0177,DIMENHYDRINATE N/L 100X10'S,P200114-0007,F5,1.0,แผง,10.0,10,8.05,,False,28.5,265.9
BL200914-035,2020-09-14,19:03,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,,False,28.5,265.9
BL200914-036,2020-09-14,19:28,C01-0000,C0185,CPM ขวด 100 เม็ด,P200804-0008,F2,1.0,กระปุก,20.0,20,14.0,,False,28.5,265.9
BL200914-037,2020-09-14,19:46,C01-0000,D0177,DIMENHYDRINATE N/L 100X10'S,P200114-0007,F5,2.0,แผง,10.0,20,16.1,,False,28.5,265.9
BL200914-040,2020-09-14,20:33,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,1.0,แผง,10.0,10,3.24,,False,28.5,265.9
BL200913-002,2020-09-13,8:42,C01-0000,C0173,Cephadol,A170104-0001,B1,1.0,แผง,30.0,30,12.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-004,2020-09-13,8:57,C01-0000,B0086,Biocalm ขายแผง,P200526-0022,F2,1.0,แผง,30.0,30,20.8,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-004,2020-09-13,8:57,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-027,2020-09-13,13:00,C01-0000,C0173,Cephadol,A170104-0001,B1,1.0,แผง,30.0,30,12.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-036,2020-09-13,15:36,C01-0000,D0179,DIORA 28'S,P200630-0052,F2,1.0,แผง,70.0,70,34.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-042,2020-09-13,17:22,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,2.0,แผง,20.0,40,32.67,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-044,2020-09-13,17:37,C01-0000,B0092,BISOLVON PEDIATRIC สตรอ 60 ML,P200331-0036,C1,2.0,ขวด,60.0,120,34.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-044,2020-09-13,17:37,C01-0000,F0067,FLEMEX kid SYRUP 60 CC,P200825-0038,B1,1.0,ขวด,60.0,60,22.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-053,2020-09-13,18:59,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-056,2020-09-13,19:36,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันไหว้พระจันทร์,True,28.5,265.9
BL200913-058,2020-09-13,19:41,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,วันไหว้พระจันทร์,True,28.5,265.9
BL200912-003,2020-09-12,8:23,C01-0000,D0174,DIFELENE  50 MG 10'S,P200825-0009,F2,2.0,แผง,35.0,70,38.0,,False,28.5,265.9
BL200912-005,2020-09-12,8:56,C01-0000,B0102,BUSCOPAN 10'S,P200811-0056,B1,1.0,แผง,50.0,50,19.0,,False,28.5,265.9
BL200912-007,2020-09-12,9:26,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-087,2020-09-12,10:12,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,,False,28.5,265.9
BL200912-016,2020-09-12,10:42,C01-0000,E0055,Extorant tablets,P190813-0001,B1,1.0,แผง,35.0,35,27.0,,False,28.5,265.9
BL200912-021,2020-09-12,11:21,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-023,2020-09-12,11:28,C01-0000,G0066,GANO 500 MG 10'S,P200811-0028,B1,1.0,แผง,50.0,50,10.83,,False,28.5,265.9
BL200912-027,2020-09-12,12:03,C01-0000,D0174,DIFELENE  50 MG 10'S,P200825-0009,F2,1.0,แผง,35.0,35,19.0,,False,28.5,265.9
BL200912-030,2020-09-12,12:32,C01-0000,G0067,GARAMYCIN  5 GM เล็ก,P200825-0057,C3,1.0,หลอด,60.0,60,22.0,,False,28.5,265.9
BL200912-034,2020-09-12,12:47,C01-0000,C0185,CPM ขวด 100 เม็ด,P200804-0008,F2,1.0,กระปุก,20.0,20,14.0,,False,28.5,265.9
BL200912-034,2020-09-12,12:47,C01-0000,O0047,One-Trex syrup 60 ml,P200325-0078,B1,1.0,ขวด,40.0,40,22.0,,False,28.5,265.9
BL200912-036,2020-09-12,12:55,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-037,2020-09-12,13:01,C01-0000,B0071,BENDA 500,P200825-0005,F2,2.0,แผง,30.0,60,30.33,,False,28.5,265.9
BL200912-040,2020-09-12,13:13,C01-0000,D0167,DexOph 4 ml.,P200811-0058,B1,1.0,ขวด,40.0,40,20.42,,False,28.5,265.9
BL200912-042,2020-09-12,13:23,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,2.0,แผง,20.0,40,32.67,,False,28.5,265.9
BL200912-046,2020-09-12,13:41,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-047,2020-09-12,14:02,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,3.0,แผง,20.0,60,40.8,,False,28.5,265.9
BL200912-055,2020-09-12,15:08,C01-0000,F0096,Floximed 400 mg,P200519-0023,F2,1.0,แผง,50.0,50,36.0,,False,28.5,265.9
BL200912-060,2020-09-12,16:20,C01-0000,G0091,gaviscon  ชมพู ซอง,P200825-0048,C3,5.0,ซอง,25.0,125,15.0,,False,28.5,265.9
BL200912-063,2020-09-12,17:01,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-066,2020-09-12,17:14,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P200804-0017,F2,1.0,แผง,35.0,35,10.8,,False,28.5,265.9
BL200912-070,2020-09-12,17:43,C01-0000,F0083,Ciprofex 500 mg,P200811-0016,B1,1.0,แผง,70.0,70,48.0,,False,28.5,265.9
BL200912-072,2020-09-12,17:46,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200912-074,2020-09-12,17:50,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200912-075,2020-09-12,17:56,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,2.0,แผง,10.0,20,6.48,,False,28.5,265.9
BL200912-085,2020-09-12,18:33,C01-0000,D0174,DIFELENE  50 MG 10'S,P200825-0009,F2,1.0,แผง,35.0,35,19.0,,False,28.5,265.9
BL200912-086,2020-09-12,18:38,C01-0000,H0045,HISTA OPH  5CC เล็ก,P200901-0020,B1,1.0,ขวด,45.0,45,19.5,,False,28.5,265.9
BL200912-088,2020-09-12,18:39,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-092,2020-09-12,18:57,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-095,2020-09-12,19:29,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,2.0,แผง,20.0,40,27.2,,False,28.5,265.9
BL200912-096,2020-09-12,19:29,C01-0000,B0092,BISOLVON PEDIATRIC สตรอ 60 ML,P200331-0036,C1,1.0,ขวด,60.0,60,17.0,,False,28.5,265.9
BL200912-096,2020-09-12,19:29,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,1.0,แผง,10.0,10,3.24,,False,28.5,265.9
BL200912-097,2020-09-12,19:32,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200912-100,2020-09-12,19:51,C01-0000,D0218,Duran syrub 60 ml,P200818-0033,B1,1.0,ขวด,45.0,45,16.25,,False,28.5,265.9
BL200912-106,2020-09-12,20:21,C01-0000,I0108,Ibrofen 600 TO แผง,P200825-0002,F2,1.0,แผง,40.0,40,26.0,,False,28.5,265.9
BL200912-106,2020-09-12,20:21,C01-0000,I0108,Ibrofen 600 TO แผง,P200616-0050,B1,1.0,แผง,40.0,40,26.0,,False,28.5,265.9
BL200912-108,2020-09-12,21:03,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200912-108,2020-09-12,21:03,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,,False,28.5,265.9
BL200912-111,2020-09-12,21:05,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200911-002,2020-09-11,8:36,C01-0000,A0178,Ampicillin 500 mg,P200218-0035,F5,2.0,แผง,40.0,80,46.4,,False,28.5,265.9
BL200911-005,2020-09-11,8:48,C01-0000,I0108,Ibrofen 600 TO แผง,P200616-0050,B1,1.0,แผง,40.0,40,26.0,,False,28.5,265.9
BL200911-006,2020-09-11,9:40,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200911-009,2020-09-11,11:06,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200911-010,2020-09-11,11:21,C01-0000,G0073,gaviscon ขวดเขียว 150 ml,P200630-0042,F2,1.0,ขวด,250.0,250,34.0,,False,28.5,265.9
BL200911-013,2020-09-11,12:56,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200911-018,2020-09-11,13:36,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200911-021,2020-09-11,14:51,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200911-022,2020-09-11,15:22,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,2.0,แผง,20.0,40,32.67,,False,28.5,265.9
BL200911-027,2020-09-11,17:04,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,,False,28.5,265.9
BL200911-027,2020-09-11,17:04,C01-0000,H0045,HISTA OPH  5CC เล็ก,P200901-0020,B1,1.0,ขวด,45.0,45,19.5,,False,28.5,265.9
BL200911-029,2020-09-11,17:43,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200911-030,2020-09-11,18:57,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,2.0,แผง,10.0,20,6.48,,False,28.5,265.9
BL200911-032,2020-09-11,19:13,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200911-034,2020-09-11,20:05,C01-0000,M0216,Minra Drops,P200728-0034,B1,1.0,ขวด,58.0,58,25.5,,False,28.5,265.9
BL200910-007,2020-09-10,9:11,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200910-018,2020-09-10,13:02,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200910-022,2020-09-10,15:51,C01-0000,D0167,DexOph 4 ml.,P200630-0082,F2,1.0,ขวด,40.0,40,20.42,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200910-024,2020-09-10,16:15,C01-0000,H0045,HISTA OPH  5CC เล็ก,P200901-0020,B1,1.0,ขวด,45.0,45,19.5,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200910-025,2020-09-10,16:38,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200910-036,2020-09-10,18:55,C01-0000,A0159,Annylyn 21 tab,P200721-0030,F2,1.0,แผง,130.0,130,40.0,วันป้องกันการฆ่าตัวตายโลก,True,28.5,265.9
BL200909-004,2020-09-09,9:09,C01-0000,D0202,DECOLGEN PRIN 25X4'S ยกกล่อง,P200421-0011,F2,1.0,กล่อง,180.0,180,11.0,,False,28.5,265.9
BL200909-019,2020-09-09,14:51,C01-0000,H0045,HISTA OPH  5CC เล็ก,P200728-0100,F2,1.0,ขวด,45.0,45,19.5,,False,28.5,265.9
BL200909-021,2020-09-09,16:30,C01-0000,D0104,Dicloxacillin-Nida,P200804-0037,F2,2.0,แผง,60.0,120,84.0,,False,28.5,265.9
BL200909-025,2020-09-09,16:45,C01-0000,I0108,Ibrofen 600 TO แผง,P200616-0050,B1,1.0,แผง,40.0,40,26.0,,False,28.5,265.9
BL200909-026,2020-09-09,16:59,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P200804-0017,F2,1.0,แผง,35.0,35,10.8,,False,28.5,265.9
BL200909-030,2020-09-09,17:22,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200909-032,2020-09-09,17:44,C01-0000,H0038,HEXIN พยาธิ,P200630-0079,F2,5.0,แผง,30.0,150,60.0,,False,28.5,265.9
BL200909-041,2020-09-09,18:48,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P200804-0017,F2,1.0,แผง,35.0,35,10.8,,False,28.5,265.9
BL200909-045,2020-09-09,19:51,C01-0000,D0189,DIANE 35,P200908-0018,F2,1.0,แผง,190.0,190,26.0,,False,28.5,265.9
BL200909-047,2020-09-09,19:58,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,,False,28.5,265.9
BL200908-002,2020-09-08,8:39,C01-0000,F0083,Ciprofex 500 mg,P200811-0016,B1,1.0,แผง,70.0,70,48.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-005,2020-09-08,9:22,C01-0000,A0178,Ampicillin 500 mg,P200218-0035,F5,2.0,แผง,40.0,80,46.4,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-006,2020-09-08,9:38,C01-0000,F0083,Ciprofex 500 mg,P200811-0016,B1,1.0,แผง,70.0,70,48.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-007,2020-09-08,9:55,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-008,2020-09-08,9:56,C01-0000,I0108,Ibrofen 600 TO แผง,P200616-0050,B1,1.0,แผง,40.0,40,26.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-009,2020-09-08,11:09,C01-0000,D0190,Dimetapp syrup,P200825-0039,B1,1.0,ขวด,60.0,60,15.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-013,2020-09-08,12:33,C01-0000,B0086,Biocalm ขายแผง,P200526-0022,F2,1.0,แผง,30.0,30,20.8,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-013,2020-09-08,12:33,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-013,2020-09-08,12:33,C01-0000,H0038,HEXIN พยาธิ,P200630-0079,F2,1.0,แผง,30.0,30,12.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-013,2020-09-08,12:33,C01-0000,H0038,HEXIN พยาธิ,P200630-0079,F2,1.0,แผง,30.0,30,12.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-014,2020-09-08,12:40,C01-0000,B0086,Biocalm ขายแผง,P200526-0022,F2,1.0,แผง,30.0,30,20.8,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-014,2020-09-08,12:40,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-016,2020-09-08,13:24,C01-0000,M0203,Mysoven granules 600 mg,P200414-0059,F2,3.0,ซอง,15.0,45,18.1,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-018,2020-09-08,14:01,C01-0000,H0045,HISTA OPH  5CC เล็ก,P200728-0100,F2,1.0,ขวด,45.0,45,19.5,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-031,2020-09-08,18:46,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-031,2020-09-08,18:46,C01-0000,D0174,DIFELENE  50 MG 10'S,P200825-0009,F2,1.0,แผง,35.0,35,19.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-031,2020-09-08,18:46,C01-0000,G0090,Gofen 400,P200901-0018,B1,1.0,แผง,100.0,100,20.83,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-033,2020-09-08,18:51,C01-0000,D0189,DIANE 35,P200908-0018,F2,1.0,แผง,190.0,190,26.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-036,2020-09-08,20:22,C01-0000,F0096,Floximed 400 mg,P200519-0023,F2,1.0,แผง,50.0,50,36.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-037,2020-09-08,20:24,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-038,2020-09-08,20:28,C01-0000,G0090,Gofen 400,P200901-0018,B1,2.0,แผง,100.0,200,41.67,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-039,2020-09-08,20:40,C01-0000,I0108,Ibrofen 600 TO แผง,P200616-0050,B1,1.0,แผง,40.0,40,26.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-040,2020-09-08,20:41,C01-0000,A0178,Ampicillin 500 mg,P200218-0035,F5,1.0,แผง,40.0,40,23.2,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-041,2020-09-08,20:51,C01-0000,F0067,FLEMEX kid SYRUP 60 CC,P200825-0038,B1,1.0,ขวด,60.0,60,22.0,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200908-042,2020-09-08,21:01,C01-0000,C0142,CETRIzin แผง,P200825-0001,F2,1.0,แผง,20.0,20,13.6,วันกอดสุนัขแห่งชาติ,True,28.5,265.9
BL200907-004,2020-09-07,9:07,C01-0000,D0167,DexOph 4 ml.,P200630-0082,F2,1.0,ขวด,40.0,40,20.42,,False,28.5,265.9
BL200907-005,2020-09-07,9:54,C01-0000,D0188,dologen,@PS-000352,B1,1.0,แผง,40.0,40,40.0,,False,28.5,265.9
BL200907-007,2020-09-07,11:17,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200825-0067,C3,4.0,แผง,10.0,40,12.96,,False,28.5,265.9
BL200907-007,2020-09-07,11:17,C01-0000,D0160,DECOLGEN PRIN 25X4'S,P200728-0084,F2,1.0,แผง,10.0,10,3.24,,False,28.5,265.9
BL200907-009,2020-09-07,13:04,C01-0000,D0174,DIFELENE  50 MG 10'S,P200825-0009,F2,1.0,แผง,35.0,35,19.0,,False,28.5,265.9
BL200907-010,2020-09-07,13:43,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200907-011,2020-09-07,15:14,C01-0000,E0055,Extorant tablets,P190813-0001,B1,1.0,แผง,35.0,35,27.0,,False,28.5,265.9
BL200907-013,2020-09-07,15:19,C01-0000,B0135,Bufenac 50 mg,P200430-0001,B4,1.0,แผง,20.0,20,16.33,,False,28.5,265.9
BL200907-013,2020-09-07,15:19,C01-0000,A0158,ยาคุม ANNA 28 เม็ด,P200804-0017,F2,1.0,แผง,35.0,35,10.8,,False,28.5,265.9
